Country;Population_2024;Land_Area_Km2;Density_PKm2;Coords;Lat;Lat_V;N_S
Peru;34,217,848;1,280,000;27;10 00 S, 76 00 W;10 00;1000;S
Philippines;115,843,670;298,170;389;13 00 N, 122 00 E;13 00;1300;N
Poland;38,539,201;306,230;126;52 00 N, 20 00 E;52 00;5200;N
Portugal;10,425,292;91,590;114;39 30 N, 8 00 W;39 30;3930;N
Qatar;3,048,423;11,610;263;25 30 N, 51 15 E;25 30;2530;N
Republic of Korea;51,717,590;97,230;532;37 00 N, 127 30 E;37 00;3700;N
Republic of Moldova;3,034,961;32,850;92;47 00 N, 29 00 E;47 00;4700;N
Romania;19,015,088;230,170;83;46 00 N, 25 00 E;46 00;4600;N
Russian Federation;144,820,423;16,376,870;9;60 00 N, 100 00 E;60 00;6000;N
Rwanda;14,256,567;24,670;578;2 00 S, 30 00 E;2 00;200;S
Saint Kitts and Nevis;46,843;260;180;17 20 N, 62 45 W;17 20;1720;N
Saint Lucia;179,744;610;295;13 53 N, 60 58 W;13 53;1353;N
Saint Vincent and the Grenadines;100,616;390;258;13 15 N, 61 12 W;13 15;1315;N
Samoa;218,019;2,830;77;13 35 S, 172 20 W;13 35;1335;S
Sao Tome and Principe;235,536;960;245;1 00 N, 7 00 E;1 00;100;N
Saudi Arabia;33,962,757;2,149,690;16;25 00 N, 45 00 E;25 00;2500;N
Senegal;18,501,984;192,530;96;14 00 N, 14 00 W;14 00;1400;N
Serbia;6,736,216;87,460;77;44 00 N, 21 00 E;44 00;4400;N
Seychelles;130,418;460;284;4 35 S, 55 40 E;4 35;435;S
Sierra Leone;8,642,022;72,180;120;8 30 N, 11 30 W;8 30;830;N
Singapore;5,832,387;700;8,332;1 22 N, 103 48 E;1 22;122;N
Slovakia;5,506,760;48,088;115;48 40 N, 19 30 E;48 40;4840;N
Slovenia;2,118,697;20,140;105;46 07 N, 14 49 E;46 07;4607;N
Solomon Islands;819,198;27,990;29;8 00 S, 159 00 E;8 00;800;S
Somalia;19,009,151;627,340;30;10 00 N, 49 00 E;10 00;1000;N
South Africa;64,007,187;1,213,090;53;29 00 S, 24 00 E;29 00;2900;S
South Sudan;11,943,408;610,952;20;8 00 N, 30 00 E;8 00;800;N
Spain;47,910,526;498,800;96;40 00 N, 4 00 W;40 00;4000;N
Sri Lanka;23,103,565;62,710;368;7 00 N, 81 00 E;7 00;700;N
Sudan (former);50,448,963;1,765,048;29;15 00 N, 30 00 E;15 00;1500;N
Suriname;634,431;156,000;4;4 00 N, 56 00 W;4 00;400;N
Sweden;10,606,999;410,340;26;62 00 N, 15 00 E;62 00;6200;N
Switzerland;8,921,981;39,516;226;47 00 N, 8 00 E;47 00;4700;N
Tajikistan;10,590,927;139,960;76;39 00 N, 71 00 E;39 00;3900;N
Thailand;71,668,011;510,890;140;15 00 N, 100 00 E;15 00;1500;N
Togo;9,515,236;54,390;175;8 00 N, 1 10 E;8 00;800;N
Tonga;104,175;720;145;20 00 S, 175 00 W;20 00;2000;S
Trinidad and Tobago;1,507,782;5,130;294;11 00 N, 61 00 W;11 00;1100;N
Tunisia;12,277,109;155,360;79;34 00 N, 9 00 E;34 00;3400;N
T?rkiye;87,473,805;769,630;114;39 00 N, 35 00 E;39 00;3900;N
Turkmenistan;7,494,498;469,930;16;40 00 N, 60 00 E;40 00;4000;N
Tuvalu;9,646;30;322;8 00 S, 178 00 E;8 00;800;S
Uganda;50,015,092;199,810;250;1 00 N, 32 00 E;1 00;100;N
Ukraine;37,860,221;579,320;65;49 00 N, 32 00 E;49 00;4900;N
United Arab Emirates;11,027,129;83,600;132;24 00 N, 54 00 E;24 00;2400;N
United Kingdom of Great Britain and Northern Ireland;69,138,192;241,930;286;54 00 N, 2 00 W;54 00;5400;N
United Republic of Tanzania;68,560,157;885,800;77;6 00 S, 35 00 E;6 00;600;S
United States of America;345,426,571;9,147,420;38;38 00 N, 97 00 W;38 00;3800;N
Uruguay;3,386,588;175,020;19;33 00 S, 56 00 W;33 00;3300;S
Uzbekistan;36,361,859;425,400;85;41 00 N, 64 00 E;41 00;4100;N
Vanuatu;327,777;12,190;27;16 00 S, 167 00 E;16 00;1600;S
Venezuela (Bolivarian Republic of);28,405,543;882,050;32;8 00 N, 66 00 W;8 00;800;N
Viet Nam;100,987,686;310,070;326;16 10 N, 107 50 E;16 10;1610;N
Yemen;40,583,164;527,970;77;15 00 N, 48 00 E;15 00;1500;N
Zambia;21,314,956;743,390;29;15 00 S, 30 00 E;15 00;1500;S
Zimbabwe;16,634,373;386,850;43;20 00 S, 30 00 E;20 00;2000;S
